marketcap,revenue,earnings,operating-margin,total-assets,total-liabilities,total-debt,net-assets,pe-ratio,ps-ratio,return-on-assets,return-on-equity,debt-to-equity,Industry_Food,Industry_Insurance,Industry_Oil&Gas,Industry_Pharmaceuticals,Industry_Real Estate,Industry_Retail,Industry_Technology,Country_India,Country_Japan,Country_Other,Country_UK,Country_USA
7.584264818389059,6.355725643292089,3.731220294603461,-0.0115,6.270704837774062,5.78986842356933,4.917130150899396,5.312565379813238,96.5,3.42,0.005524929879076153,0.03377879006644925,0.26407504233287954,0,0,0,0,0,0,1,0,0,0,0,1
4.185859671057874,5.294911573413204,1.9685099809725544,0.0255,4.8629083820668,4.30999343177405,3.4572626055951043,4.024458434757935,16.1,0.3255,0.0021958413217118286,0.011289453090532132,0.1973098601336168,0,0,0,0,0,0,1,0,0,1,0,0
3.7727609380946383,5.033570265378752,1.776645831418007,0.0255,4.467974946810247,3.8247206770253497,2.3749057545736716,3.7459684210980635,13.7,0.2839,0.0030702566377902177,0.012590014836266943,0.04482200301412189,0,0,0,0,0,0,1,0,0,0,0,0
5.1441166854707365,4.140750935036256,2.2710944259026746,0.0308,4.914418036354433,4.732859547128981,4.109725664260403,3.1616703510974213,24.4,2.76,0.0038783116889594764,0.10577182830727233,1.6767420234476806,0,0,0,0,0,0,1,0,0,0,0,1
3.114847754444153,4.104954741334116,1.4279160358107101,0.0487,4.162158961805957,3.5052570515869337,2.509599262378372,3.463232772581608,7.18,0.3597,0.0023944668513966446,0.009525928347195053,0.09702653013499019,0,0,0,0,0,0,1,0,1,0,0,0
5.237080057076847,4.881285622068407,2.9069010598473755,0.16820000000000002,5.555321135350349,4.574607880405451,3.19744787745458,5.091416190779691,15.9,1.43,0.004224604552034226,0.010341034619466206,0.018385812148629367,0,0,0,0,0,0,1,0,0,0,0,0
8.064636475774222,5.431886258469452,4.627029520340985,0.4214,6.156025140989894,5.452282314842547,4.492785055393301,5.477550826742758,38.6,14.0,0.03795370229925515,0.12533232947583012,0.0995184926857395,0,0,0,0,0,0,1,0,0,0,0,1
7.596894438144544,5.731365215741929,4.466137977292534,0.25489999999999996,5.999903835921826,4.78757507264335,3.3843902633457743,5.65027620713306,30.6,6.48,0.03753264944172613,0.07027776200707486,0.009183958159176808,0,0,0,0,0,0,1,0,0,0,0,1
3.401863826205316,3.435276695315018,1.3506671834767394,0.09359999999999999,3.6524747722201365,2.703372611551099,1.7783364488959144,3.204371138665319,15.1,0.9541,0.005382602833820194,0.013042677060373063,0.03574630966648189,0,0,0,0,0,0,1,0,1,0,0,0
5.8281217489118085,3.979868552323213,2.751109690562657,0.1802,4.9278332273351175,4.882044059723269,4.488411625377895,1.9712993830601329,35.5,6.45,0.010323338860686555,1.4775762564351327,7.418417443401573,0,0,0,0,0,0,1,0,0,0,0,1
7.902117546276448,5.957649198613251,4.807376066087421,0.302,5.870736554319034,5.6362528178626015,4.691714787388277,4.318820558770089,27.1,7.01,0.08716346627254619,0.9412802720328043,0.8088485711927524,0,0,0,0,0,0,1,0,0,0,0,1
4.874968289341312,3.7059823620135983,1.9416152247724325,0.1381,4.191320021345486,3.585738695194423,2.797281334830153,3.434954478460289,26.5,2.82,0.007696176724967886,0.032877688159199316,0.1713759611443361,0,0,0,0,0,0,1,0,0,1,0,0
4.494573764646065,4.4933443708058345,1.8531680973566984,0.054400000000000004,4.433907256550871,4.463952184072554,3.34814816057234,-1.2725655957915476,46.8,1.0,0.003920635874701782,0.018553219901069784,0.25024357373473405,0,0,0,0,0,0,1,0,0,0,0,1
6.322672954054096,4.5826177815175795,2.4087452888224363,0.1435,4.678513580212301,3.784189633918261,2.3580197998821464,4.168214410788556,51.2,5.75,0.008223997698772714,0.021803671236810714,0.019648198148471484,0,0,0,0,0,0,1,0,0,0,0,1
1.9050881545350582,1.6992786164338898,0.5068176023684519,0.10640000000000001,1.7578579175523736,1.2669476034873244,0.9162907318741551,1.1755733298042381,14.3,1.28,0.016597908867306728,0.06668524866519321,0.26276875124256716,0,0,0,0,0,0,1,0,0,1,0,0
5.0825217528963655,4.011325206502009,0.9707789171582247,0.1231,5.260459723991796,4.414009680526933,3.917408477704484,4.7091697760065765,-94.1,2.95,7.266544985279093e-05,0.00021916986408760143,0.13707249988786582,0,0,0,0,0,0,1,0,0,0,0,1
3.052112606990099,3.231989464013584,0.8960880245566356,0.0584,3.401863826205316,2.7631695003232895,1.747459210331475,2.7186603802142257,22.0,0.8227,0.00237727874426063,0.009504426108536983,0.08337126910353249,0,0,0,0,0,0,1,0,1,0,0,0
4.652149187182086,4.499476281429027,2.192770226986839,0.0951,5.479304700328854,5.2295030505476765,3.4735180432417816,3.9886136075898584,15.3,1.17,0.0010762363211080667,0.01959308173041727,0.21495896036233855,0,0,0,0,0,0,1,0,1,0,0,0
5.383163901958155,3.551340040091875,2.105352923464337,0.1772,4.337944122103693,3.3520071374713836,2.3711778844596574,3.891412051524022,34.9,6.4,0.008308352426138583,0.019599305617311397,0.03396633919014959,0,0,0,0,0,0,1,0,0,1,0,0
5.934682533008997,4.454347296253507,3.594843462187342,0.4035,5.37592634587502,4.606669062111827,3.971234865059992,4.76208846105951,13.4,4.43,0.023216471356975264,0.0709803413357668,0.13741705599334483,0,0,0,0,0,0,1,0,0,0,0,0
2.8763855159214247,3.25848107946056,-1.0260415958332743,0.0906,3.4173987610001633,3.035914063186823,1.8547342683894434,2.367436065313662,-7.82,0.6698,-0.0036899819807339447,-0.034765170936893366,0.19626132702876742,0,0,0,0,0,0,1,0,0,1,0,0
3.22525543183224,3.0086484988205373,0.9631743177730056,0.0973,3.12412548832239,2.5610957881455465,2.0228711901914416,2.377692565480851,19.4,1.25,0.00516548035224211,0.023492879639757883,0.26345287363568337,0,0,0,0,0,0,1,0,0,1,0,0
4.409520198982804,3.6451887654892032,0.9895411936137477,0.0874,3.709906821306012,3.006672213592325,2.2793164660546914,3.0740812399649675,-56.4,2.23,0.001725107480843745,0.006199485316681841,0.1254918915374869,0,0,0,0,0,0,1,0,0,0,0,0
3.835141961092188,2.834389123145228,1.2669476034873244,0.1445,3.1809662517949806,2.3813962734183356,1.6467336971777973,2.65605490598383,24.2,2.83,0.010991472627694203,0.031023283801574854,0.07559767243188024,0,0,0,0,0,0,1,0,0,1,0,0
3.7914360424390283,2.7713379403381286,1.1410330045520618,0.1306,3.3207101307494686,3.070839746040796,2.7006898466959175,1.9615022438151495,39.3,2.89,0.005899519257684971,0.08944500071390352,1.4061346847089011,0,0,0,0,0,0,1,0,0,0,0,1
2.994231147427724,3.22525543183224,1.1052568313867783,0.09119999999999999,3.8079949350040985,3.102791345847399,1.9065751436566365,3.169685580677429,4.62,0.7909,0.0020094307927604523,0.007206183715663511,0.050263680181535396,0,0,0,0,0,0,1,0,0,1,0,0
5.306037489563175,4.064400685849028,2.8610573702273894,0.2807,4.626638092603332,4.0239220979255546,2.533696813957432,3.855452653939752,16.0,3.5,0.022774384947894744,0.09288983540560845,0.05008285464549333,0,0,0,0,0,0,1,0,0,0,0,1
2.6518325211039815,4.03706849440237,0.9555114450274363,0.0874,3.7013019741124933,3.537765824444175,1.6094379124341003,1.9615022438151495,7.9,0.2451,0.0015766815533484187,0.0540987660487474,0.2536112073228161,0,0,0,0,0,0,1,0,0,1,0,0
3.580458705159516,2.503073953743449,1.0715836162801904,0.17129999999999998,3.0996417369445024,1.5085119938441398,0.7701082216960736,2.9269179575536315,14.9,3.03,0.0075231427176016994,0.010640117583299594,0.004042805053212104,0,0,0,0,0,0,1,0,1,0,0,0
1.2178757094949273,1.308332819650179,0.18232155679395465,0.07690000000000001,1.7613002617433464,1.3297240096314962,1.0116009116784799,1.1085626195212777,23.6,0.8811,0.001652910794691504,0.008829570144804955,0.38649623863168603,0,0,0,0,0,0,1,0,0,1,0,0
1.8066480817218056,1.724550719534605,0.25464221837358075,0.1624,3.615501984309161,3.178470410233162,1.9473377010464987,2.6504210882655737,25.1,1.17,6.377177640871447e-05,0.0004751170625210661,0.1414998297360262,0,0,0,0,0,0,1,0,0,0,0,0
5.6739072890373805,3.5793435670456293,1.7833912195575383,0.0315,4.6133367486544845,3.7177098357818132,2.60859812213055,4.104954741334116,186.0,8.32,0.002342454230100067,0.006357368853848175,0.03663033342447947,0,0,0,0,0,0,1,0,0,0,0,1
3.751619483935122,2.583997552432231,-1.9344157696295783,-1.5916,4.027135812528651,3.6109179126442243,3.012589390620414,3.000222178826843,-1.81,3.39,-0.01159949956436893,-0.10027148847905828,0.4895433800028101,0,0,0,0,0,0,1,0,0,0,0,1
7.195937226475569,4.911919321157098,3.8891637112820634,0.2379,5.44077133434297,4.349632566862877,3.6436205477083212,5.037991024106111,45.5,9.89,0.035856879294611274,0.07396823791959385,0.04734604927918941,0,0,0,0,0,0,1,0,0,0,0,1
3.4864572256129787,2.6311691567662523,0.598836501088704,-0.0483,2.9454910571172443,2.5209170873110334,1.724550719534605,2.0241930674493576,117.0,2.46,0.0019802515101545255,0.013833030052715157,0.2826119939366465,0,0,0,0,0,0,1,0,0,1,0,0
4.619073091157083,2.9269179575536315,1.7227665977411035,0.258,4.061476958596484,3.984157603187345,1.4609379041156565,1.6695918352538475,28.9,5.68,0.006011222913173734,0.5274192177123246,0.32471587685787223,0,0,0,0,0,0,1,0,0,0,0,1
3.560477739309412,3.2339614622862416,0.48858001481867097,0.0236,2.663052835171474,2.327277705584417,1.3297240096314962,1.6253112615903906,79.4,1.4,0.0021293732794123712,0.020618352195093382,0.269995023201207,0,0,0,0,0,0,1,0,0,1,0,0
3.1908877883280318,3.3700506526653187,1.128171090909654,0.042199999999999994,4.087655574071304,3.6410013738694724,2.6239436918052106,3.111735949310297,21.4,0.8304,0.0012280989860022596,0.008636929700519774,0.21855234873522225,0,0,0,0,0,0,1,0,0,0,0,1
0.5247285289349821,1.551808799597464,-0.29266961396282004,-0.0904,1.425515074273172,1.2584609896100056,0.9122827104766162,0.48858001481867097,-1.11,0.1867,-0.011632920334373397,-0.33483364315308933,1.4724646600242934,0,0,0,0,0,0,1,0,0,0,0,1
3.835141961092188,2.9128939952449864,1.6389967146756448,0.24739999999999998,3.4769230921902907,2.58851563240702,1.998773638612381,2.998229153752578,14.0,2.64,0.015445804611402436,0.03884256703236268,0.08344153111618058,0,0,0,0,0,0,1,0,0,1,0,0
3.3877743613300146,3.991019011654644,1.547562508716013,0.0705,3.6065842113871063,3.6501386257975055,2.4790562361098245,-0.9707789171582247,12.5,0.5385,0.00965271462655732,0.018553219901069784,0.25024357373473405,0,0,0,0,0,0,1,0,0,0,0,1
